site,scope1_tco2e,scope2_tco2e,total_scope1_2_tco2e,scope3_tco2e
삼성에스디에스(주) 판교IT캠퍼스,0.0,2796.245,2796.245,
삼성에스디에스(주) 춘천센터,18.067,16529.486,16547.553,
삼성에스디에스(주) 수원센터,647.134,54894.3,55541.434,
삼성에스디에스(주) 상암IT센터,160.767,40882.281,41043.048,
삼성에스디에스(주) 동탄센터,2.953,38550.66,38553.613,
삼성에스디에스(주) 구미센터,345.895,7821.353,8167.248,
삼성에스디에스(주) East Campus,715.947,1819.687,2535.634,
삼성에스디에스(주) SDS타워(West Campus),1716.966,4356.566,6073.532,2992478.0
(학)성균관대학삼성창원병원,4125.866,10412.361,14538.227,
삼성중공업(주) 창원공장,1274.823,2590.935,3865.758,
삼성중공업 거제,297893.0,218990.0,516883.0,
삼성중공업(주),210.428,2820.41,3030.838,77405200.0
